""	"ID"	"Symbol"	"COL"	"ROW"	"NAME"
"263"	"TC01000266.hg.1"	"OTTHUMG00000002623"	"NA"	"NA"	"OTTHUMT00000007466"
"264"	"TC01000267.hg.1"	"LOC100506801"	"NA"	"NA"	"NR_038404"
"265"	"TC01000268.hg.1"	"PPP1R11P1"	"NA"	"NA"	"ENST00000537790"
"266"	"TC01000269.hg.1"	"OTTHUMG00000002945"	"NA"	"NA"	"OTTHUMT00000008192"
"267"	"TC01000270.hg.1"	"NA"	"NA"	"NA"	"---"
"268"	"TC01000271.hg.1"	"NBPF3"	"NA"	"NA"	"NM_001256416"
"269"	"TC01000272.hg.1"	"ALPL"	"NA"	"NA"	"NM_000478"
"270"	"TC01000273.hg.1"	"OTTHUMG00000037843"	"NA"	"NA"	"OTTHUMT00000092373"
"271"	"TC01000274.hg.1"	"LDLRAD2"	"NA"	"NA"	"NM_001013693"
"272"	"TC01000275.hg.1"	"NA"	"NA"	"NA"	"---"
"273"	"TC01000277.hg.1"	"NA"	"NA"	"NA"	"---"
"274"	"TC01000278.hg.1"	"NA"	"NA"	"NA"	"---"
"275"	"TC01000279.hg.1"	"LINC00339"	"NA"	"NA"	"NR_023918"
"276"	"TC01000280.hg.1"	"CDC42"	"NA"	"NA"	"NM_001039802"
"277"	"TC01000281.hg.1"	"CDC42-IT1"	"NA"	"NA"	"ENST00000431803"
"278"	"TC01000282.hg.1"	"ZBTB40"	"NA"	"NA"	"NM_001083621"
"279"	"TC01000283.hg.1"	"ZBTB40-IT1"	"NA"	"NA"	"ENST00000438551"
"280"	"TC01000284.hg.1"	"EPHA8"	"NA"	"NA"	"NM_001006943"
"281"	"TC01000285.hg.1"	"C1QA"	"NA"	"NA"	"NM_015991"
"282"	"TC01000286.hg.1"	"C1QC"	"NA"	"NA"	"NM_001114101"
"283"	"TC01000287.hg.1"	"C1QB"	"NA"	"NA"	"NM_000491"
"284"	"TC01000288.hg.1"	"EPHB2"	"NA"	"NA"	"NM_004442"
"285"	"TC01000289.hg.1"	"MIR4684"	"NA"	"NA"	"NR_039832"
"286"	"TC01000290.hg.1"	"NA"	"NA"	"NA"	"---"
"287"	"TC01000291.hg.1"	"NA"	"NA"	"NA"	"---"
"288"	"TC01000292.hg.1"	"KDM1A"	"NA"	"NA"	"NM_001009999"
"289"	"TC01000293.hg.1"	"MIR3115"	"NA"	"NA"	"NR_036057"
"290"	"TC01000294.hg.1"	"NA"	"NA"	"NA"	"---"
"291"	"TC01000295.hg.1"	"NA"	"NA"	"NA"	"---"
"292"	"TC01000296.hg.1"	"C1orf213"	"NA"	"NA"	"NR_033690"
"293"	"TC01000297.hg.1"	"NA"	"NA"	"NA"	"---"
"294"	"TC01000298.hg.1"	"MDS2"	"NA"	"NA"	"NR_027042"
"295"	"TC01000299.hg.1"	"RPL11"	"NA"	"NA"	"NM_000975"
"296"	"TC01000300.hg.1"	"TCEB3"	"NA"	"NA"	"NM_003198"
"297"	"TC01000301.hg.1"	"PITHD1"	"NA"	"NA"	"NM_020362"
"298"	"TC01000302.hg.1"	"LYPLA2"	"NA"	"NA"	"NM_007260"
"299"	"TC01000303.hg.1"	"NA"	"NA"	"NA"	"---"
"300"	"TC01000304.hg.1"	"MIR378F"	"NA"	"NA"	"NR_039615"
"301"	"TC01000305.hg.1"	"PNRC2"	"NA"	"NA"	"NM_017761"
"302"	"TC01000306.hg.1"	"OTTHUMG00000003034"	"NA"	"NA"	"OTTHUMT00000008400"
"303"	"TC01000307.hg.1"	"OTTHUMG00000003037"	"NA"	"NA"	"OTTHUMT00000008407"
"304"	"TC01000308.hg.1"	"LOC284632"	"NA"	"NA"	"NR_027087"
"305"	"TC01000309.hg.1"	"GRHL3"	"NA"	"NA"	"NM_001195010"
"306"	"TC01000310.hg.1"	"NIPAL3"	"NA"	"NA"	"NM_020448"
"307"	"TC01000311.hg.1"	"RCAN3"	"NA"	"NA"	"NM_001251977"
"308"	"TC01000312.hg.1"	"NCMAP"	"NA"	"NA"	"NM_001010980"
"309"	"TC01000313.hg.1"	"SRRM1"	"NA"	"NA"	"NM_005839"
"310"	"TC01000314.hg.1"	"CLIC4"	"NA"	"NA"	"NM_013943"
"311"	"TC01000315.hg.1"	"NA"	"NA"	"NA"	"---"
"312"	"TC01000316.hg.1"	"OTTHUMG00000003322"	"NA"	"NA"	"OTTHUMT00000009317"
"313"	"TC01000317.hg.1"	"OTTHUMG00000003323"	"NA"	"NA"	"OTTHUMT00000009318"
