ID	ORF	GenBank	CLONE_ID	SPOT_ID
AC007255.8		AC007255.8		AC007255.8
AC007256.5		AC007256.5		AC007256.5
AC007271.3		AC007271.3		AC007271.3
AC007272.3		AC007272.3		AC007272.3
AC007274.5		AC007274.5		AC007274.5
AC007277.3		AC007277.3		AC007277.3
AC007278.2		AC007278.2		AC007278.2
AC007278.3		AC007278.3		AC007278.3
AC007279.2		AC007279.2		AC007279.2
AC007283.5		AC007283.5		AC007283.5
AC007285.6		AC007285.6		AC007285.6
AC007285.7		AC007285.7		AC007285.7
AC007292.3		AC007292.3		AC007292.3
AC007292.4		AC007292.4		AC007292.4
AC007292.6		AC007292.6		AC007292.6
AC007312.3		AC007312.3		AC007312.3
AC007318.5		AC007318.5		AC007318.5
AC007319.1		AC007319.1		AC007319.1
AC007327.5		AC007327.5		AC007327.5
AC007327.6		AC007327.6		AC007327.6
AC007349.5		AC007349.5		AC007349.5
AC007349.7		AC007349.7		AC007349.7
AC007359.6		AC007359.6		AC007359.6
AC007362.3		AC007362.3		AC007362.3
AC007364.1		AC007364.1		AC007364.1
AC007365.1		AC007365.1		AC007365.1
AC007365.3		AC007365.3		AC007365.3
AC007365.4		AC007365.4		AC007365.4
AC007381.2		AC007381.2		AC007381.2
AC007381.3		AC007381.3		AC007381.3
AC007383.3		AC007383.3		AC007383.3
AC007383.4		AC007383.4		AC007383.4
AC007383.6		AC007383.6		AC007383.6
AC007386.2		AC007386.2		AC007386.2
AC007386.3		AC007386.3		AC007386.3
AC007386.4		AC007386.4		AC007386.4
AC007387.2		AC007387.2		AC007387.2
AC007389.1		AC007389.1		AC007389.1
AC007389.2		AC007389.2		AC007389.2
AC007389.3		AC007389.3		AC007389.3
AC007389.4		AC007389.4		AC007389.4
AC007390.4		AC007390.4		AC007390.4
AC007391.2		AC007391.2		AC007391.2
AC007392.3		AC007392.3		AC007392.3
AC007392.4		AC007392.4		AC007392.4
AC007394.3		AC007394.3		AC007394.3
AC007395.4		AC007395.4		AC007395.4
AC007403.1		AC007403.1		AC007403.1
AC007403.2		AC007403.2		AC007403.2
AC007405.4		AC007405.4		AC007405.4
