""	"probe_id"	"symbol"
"424123"	"ILMN_1652826"	"LRRC17"
"424124"	"ILMN_1652846"	"PCYT2"
"424125"	"ILMN_1652852"	"GAS2"
"424126"	"ILMN_1652857"	"SLC15A1"
"424127"	"ILMN_1652865"	"BAIAP2"
"424128"	"ILMN_1652866"	"LMX1B"
"424129"	"ILMN_1652872"	"UBOX5"
"424130"	"ILMN_1652876"	"ZNF736"
"424131"	"ILMN_1652878"	"PLXDC1"
"424132"	"ILMN_1652888"	"HGH1"
"424133"	"ILMN_1652894"	"TMEM231"
"424134"	"ILMN_1652906"	"GBGT1"
"424135"	"ILMN_1652907"	"CDC5L"
"424136"	"ILMN_1652913"	"EZH2"
"424137"	"ILMN_1652918"	"RHOF"
"424138"	"ILMN_1652920"	"AIP"
"424139"	"ILMN_1652928"	"ORAI2"
"424140"	"ILMN_1652929"	"POGZ"
"424141"	"ILMN_1652931"	"CLDN25"
"424142"	"ILMN_1652938"	"PRRG3"
"424143"	"ILMN_1652940"	"TUBA3FP"
"424144"	"ILMN_1652946"	"VSTM5"
"424145"	"ILMN_1652952"	"RASAL2"
"424146"	"ILMN_1652955"	"RPS27"
"424147"	"ILMN_1652959"	"ABCD2"
"424148"	"ILMN_1652963"	"C1orf194"
"424149"	"ILMN_1652967"	"RDH16"
"424150"	"ILMN_1652975"	"DLK1"
"424151"	"ILMN_1652989"	"NUP160"
"424152"	"ILMN_1652992"	"PRDM2"
"424153"	"ILMN_1652998"	"HIST1H2BL"
"424154"	"ILMN_1653001"	"CABLES1"
"424155"	"ILMN_1653006"	"CSN1S1"
"424156"	"ILMN_1653009"	"RGS12"
"424157"	"ILMN_1653026"	"PLAC8"
"424158"	"ILMN_1653028"	"COL4A1"
"424159"	"ILMN_1653033"	"SETMAR"
"424160"	"ILMN_1653035"	"SYT14P1"
"424161"	"ILMN_1653040"	"PCDHGA12"
"424162"	"ILMN_1653042"	"HSD3B7"
"424163"	"ILMN_1653055"	"SOX3"
"424164"	"ILMN_1653073"	"OR10Q1"
"424165"	"ILMN_1653092"	"FAM186A"
"424166"	"ILMN_1653098"	"SLC30A4"
"424167"	"ILMN_1653103"	"CNBD2"
"424168"	"ILMN_1653115"	"ECH1"
"424169"	"ILMN_1653120"	"ST6GAL1"
"424170"	"ILMN_1653125"	"PER1"
"424171"	"ILMN_1653129"	"CSTF2"
"424172"	"ILMN_1653133"	"SH3D19"
"424173"	"ILMN_1653134"	"CNEP1R1"
"424174"	"ILMN_1653143"	"ECD"
"424175"	"ILMN_1653146"	"MSH4"
"424176"	"ILMN_1653152"	"RFNG"
"424177"	"ILMN_1653158"	"DPRX"
"424178"	"ILMN_1653161"	"SNCG"
"424179"	"ILMN_1653162"	"HSD17B6"
"424180"	"ILMN_1653163"	"ZSCAN2"
"424181"	"ILMN_1653165"	"AAMP"
"424182"	"ILMN_1653166"	"CLEC10A"
"424183"	"ILMN_1653174"	"GCNT2"
"424184"	"ILMN_1653180"	"TPM4"
"424185"	"ILMN_1653182"	"PMS2P1"
"424186"	"ILMN_1653185"	"PCSK7"
"424187"	"ILMN_1653200"	"SLC22A17"
"424188"	"ILMN_1653203"	"EFEMP2"
"424189"	"ILMN_1653205"	"C8orf59"
"424190"	"ILMN_1653207"	"TET1"
"424191"	"ILMN_1653209"	"ZWINT"
"424192"	"ILMN_1653211"	"ATP1B4"
"424193"	"ILMN_1653220"	"PITPNM1"
"424194"	"ILMN_1653228"	"C3orf22"
"424195"	"ILMN_1653251"	"HIST1H1B"
"424196"	"ILMN_1653260"	"ARL6IP1"
"424197"	"ILMN_1653263"	"GPRIN1"
"424198"	"ILMN_1653266"	"DNAJB14"
"424199"	"ILMN_1653267"	"GPR26"
"424200"	"ILMN_1653274"	"NUDT10"
"424201"	"ILMN_1653278"	"MUC20"
"424202"	"ILMN_1653280"	"GZMB"
"424203"	"ILMN_1653282"	"LCE2A"
"424204"	"ILMN_1653283"	"APP"
"424205"	"ILMN_1653292"	"PFKFB4"
"424206"	"ILMN_1653310"	"ZNF580"
"424207"	"ILMN_1653319"	"MC1R"
"424208"	"ILMN_1653324"	"IL22RA2"
"424209"	"ILMN_1653332"	"HAUS6"
"424210"	"ILMN_1653337"	"USP32"
"424211"	"ILMN_1653340"	"RECQL5"
"424212"	"ILMN_1653341"	"KRTAP19-2"
"424213"	"ILMN_1653342"	"DUS1L"
"424214"	"ILMN_1653358"	"FUT3"
"424215"	"ILMN_1653367"	"TAF12"
"424216"	"ILMN_1653372"	"ATP8B3"
"424217"	"ILMN_1653376"	"FAM171B"
"424218"	"ILMN_1653385"	"KIF3A"
"424219"	"ILMN_1653386"	"SULT6B1"
"424220"	"ILMN_1653395"	"CCR5"
"424221"	"ILMN_1653397"	"LRRC43"
"424222"	"ILMN_1653404"	"NKIRAS2"
"424223"	"ILMN_1653412"	"RAX2"
"424224"	"ILMN_1653420"	"BTBD18"
"424225"	"ILMN_1653428"	"SPINK9"
"424226"	"ILMN_1653429"	"SLC35A3"
"424227"	"ILMN_1653432"	"HNRNPDL"
"424228"	"ILMN_1653434"	"DMD"
"424229"	"ILMN_1653438"	"PHF14"
"424230"	"ILMN_1653443"	"CDK2"
"424231"	"ILMN_1653444"	"RPL22"
"424232"	"ILMN_1653447"	"PSORS1C2"
"424233"	"ILMN_1653453"	"MID1"
"424234"	"ILMN_1653459"	"IL11RA"
"424235"	"ILMN_1653461"	"CCSER1"
"424236"	"ILMN_1653463"	"SULT1C3"
"424237"	"ILMN_1653464"	"RASD2"
"424238"	"ILMN_1653466"	"HES4"
"424239"	"ILMN_1653469"	"RPL12"
"424240"	"ILMN_1653494"	"S100A1"
"424241"	"ILMN_1653496"	"GLUL"
"424242"	"ILMN_1653501"	"SEMA3B"
"424243"	"ILMN_1653504"	"S1PR1"
"424244"	"ILMN_1653514"	"RBBP4"
"424245"	"ILMN_1653515"	"NSD2"
"424246"	"ILMN_1653517"	"LBR"
"424247"	"ILMN_1653522"	"SETMAR"
"424248"	"ILMN_1653524"	"SIKE1"
"424249"	"ILMN_1653529"	"TEX10"
"424250"	"ILMN_1653553"	"TEDC1"
"424251"	"ILMN_1653573"	"LINC00892"
"424252"	"ILMN_1653591"	"TRIM40"
"424253"	"ILMN_1653599"	"ATP5F1D"
"424254"	"ILMN_1653601"	"TLK2"
"424255"	"ILMN_1653603"	"DBF4"
"424256"	"ILMN_1653607"	"TXNDC2"
"424257"	"ILMN_1653612"	"KCTD9"
"424258"	"ILMN_1653613"	"PIGO"
"424259"	"ILMN_1653618"	"ZZZ3"
"424260"	"ILMN_1653622"	"LINC-PINT"
"424261"	"ILMN_1653629"	"FAM46D"
"424262"	"ILMN_1653646"	"UBL7"
"424263"	"ILMN_1653652"	"PTPRC"
"424264"	"ILMN_1653666"	"KLHL7"
"424265"	"ILMN_1653667"	"TBX1"
"424266"	"ILMN_1653670"	"CUL3"
"424267"	"ILMN_1653678"	"DTX4"
"424268"	"ILMN_1653687"	"GALNT9"
"424269"	"ILMN_1653690"	"TNFSF14"
"424270"	"ILMN_1653704"	"IL9"
"424271"	"ILMN_1653708"	"CORO1B"
"424272"	"ILMN_1653709"	"TIMM9"
"424273"	"ILMN_1653711"	"FZD2"
"424274"	"ILMN_1653712"	"UAP1L1"
"424275"	"ILMN_1653718"	"ZFAND2B"
"424276"	"ILMN_1653719"	"ITGBL1"
"424277"	"ILMN_1653724"	"LINC-PINT"
"424278"	"ILMN_1653730"	"OXCT2"
"424279"	"ILMN_1653747"	"RPS15A"
"424280"	"ILMN_1653748"	"CST11"
"424281"	"ILMN_1653749"	"B4GALT5"
"424282"	"ILMN_1653750"	"SOX10"
"424283"	"ILMN_1653751"	"HOPX"
"424284"	"ILMN_1653761"	"MYCN"
"424285"	"ILMN_1653762"	"NRSN1"
"424286"	"ILMN_1653765"	"GALE"
"424287"	"ILMN_1653766"	"CCL24"
"424288"	"ILMN_1653767"	"RNF6"
"424289"	"ILMN_1653769"	"CBLN3"
"424290"	"ILMN_1653771"	"WDR63"
"424291"	"ILMN_1653774"	"RNF215"
"424292"	"ILMN_1653783"	"MLC1"
"424293"	"ILMN_1653788"	"RNF208"
"424294"	"ILMN_1653793"	"PDPK1"
"424295"	"ILMN_1653794"	"SNHG5"
"424296"	"ILMN_1653797"	"C6orf62"
"424297"	"ILMN_1653814"	"HBBP1"
"424298"	"ILMN_1653822"	"NEK2"
"424299"	"ILMN_1653824"	"LAMC2"
"424300"	"ILMN_1653826"	"FGF13"
"424301"	"ILMN_1653828"	"CHFR"
"424302"	"ILMN_1653829"	"C15orf62"
"424303"	"ILMN_1653833"	"LINC00410"
"424304"	"ILMN_1653834"	"OGFOD1"
"424305"	"ILMN_1653836"	"KIAA1549L"
"424306"	"ILMN_1653846"	"WHAMMP2"
"424307"	"ILMN_1653856"	"UBASH3B"
"424308"	"ILMN_1653861"	"SCMH1"
"424309"	"ILMN_1653865"	"RPL7L1"
"424310"	"ILMN_1653867"	"ZNF483"
"424311"	"ILMN_1653871"	"NAMPT"
"424312"	"ILMN_1653878"	"CACNB2"
"424313"	"ILMN_1653892"	"BACH2"
"424314"	"ILMN_1653894"	"GMIP"
"424315"	"ILMN_1653896"	"ATRIP"
"424316"	"ILMN_1653910"	"HSP90AA6P"
"424317"	"ILMN_1653927"	"SNORD83A"
"424318"	"ILMN_1653933"	"ABCB6"
"424319"	"ILMN_1653934"	"KRT17"
"424320"	"ILMN_1653940"	"USP2"
"424321"	"ILMN_1653956"	"LINC01091"
"424322"	"ILMN_1653965"	"ITGB4"
"424323"	"ILMN_1653969"	"LINC00898"
"424324"	"ILMN_1653980"	"METTL8"
"424325"	"ILMN_1653984"	"MYO7B"
"424326"	"ILMN_1654001"	"SMC6"
"424327"	"ILMN_1654016"	"MYL12B"
"424328"	"ILMN_1654028"	"DHCR7"
"424329"	"ILMN_1654031"	"TPTE2"
"424330"	"ILMN_1654032"	"ZER1"
"424331"	"ILMN_1654037"	"PPIE"
"424332"	"ILMN_1654043"	"NBEAL1"
"424333"	"ILMN_1654049"	"IGLON5"
"424334"	"ILMN_1654060"	"MKNK2"
"424335"	"ILMN_1654061"	"CTAGE10P"
"424336"	"ILMN_1654063"	"HYDIN"
"424337"	"ILMN_1654064"	"EPB41L5"
"424338"	"ILMN_1654065"	"ATOH8"
"424339"	"ILMN_1654072"	"CX3CL1"
"424340"	"ILMN_1654074"	"ITGA3"
"424341"	"ILMN_1654087"	"POU2F2"
"424342"	"ILMN_1654099"	"LRIG2"
"424343"	"ILMN_1654109"	"EGFLAM"
"424344"	"ILMN_1654112"	"PARD6A"
"424345"	"ILMN_1654118"	"BCL2L1"
"424346"	"ILMN_1654129"	"AIDA"
"424347"	"ILMN_1654151"	"COX6C"
"424348"	"ILMN_1654154"	"PLCL1"
"424349"	"ILMN_1654156"	"SNTB2"
"424350"	"ILMN_1654165"	"SLC45A2"
"424351"	"ILMN_1654171"	"DHFRP3"
"424352"	"ILMN_1654194"	"AAGAB"
"424353"	"ILMN_1654195"	"GCC2"
"424354"	"ILMN_1654200"	"RGPD4"
"424355"	"ILMN_1654210"	"CD1C"
"424356"	"ILMN_1654212"	"DOK7"
"424357"	"ILMN_1654217"	"MPP2"
"424358"	"ILMN_1654228"	"PCDHGA3"
"424359"	"ILMN_1654246"	"SIRT6"
"424360"	"ILMN_1654261"	"TRPV1"
"424361"	"ILMN_1654262"	"ZMAT3"
"424362"	"ILMN_1654268"	"HMGB2"
"424363"	"ILMN_1654284"	"RBMY2FP"
"424364"	"ILMN_1654287"	"ADCY9"
"424365"	"ILMN_1654289"	"ELK1"
"424366"	"ILMN_1654314"	"LGALS3BP"
"424367"	"ILMN_1654317"	"TUBBP5"
"424368"	"ILMN_1654319"	"HAPLN3"
"424369"	"ILMN_1654322"	"ATP1B3"
"424370"	"ILMN_1654323"	"UBE3A"
"424371"	"ILMN_1654324"	"HEYL"
"424372"	"ILMN_1654357"	"ZNF24"
